PlayerName,Position,OverallRating,PaceRating,ShootRating,PassRating,DribRating,DefenseRating,PhysicalRating
Mohamed Salah,RM,91,89,88,86,90,45,76
Alexia Putellas,CM,91,82,89,90,91,72,80
Kylian Mbappé,ST,91,97,90,81,92,37,76
Aitana Bonmatí,CM,91,85,87,86,91,77,75
Ousmane Dembélé,ST,90,91,88,83,93,50,69
Rodri,CDM,90,65,80,86,84,86,85
Caroline Graham Hansen,RW,90,89,87,88,90,47,76
Virgil van Dijk,CB,90,73,60,72,72,90,87
Jude Bellingham,CAM,90,80,86,83,90,78,85
Erling Haaland,ST,90,86,91,70,80,45,88
Raphinha,LM,89,91,84,85,87,53,75
Achraf Hakimi,RB,89,92,79,82,83,82,79
Alessia Russo,ST,89,82,88,70,87,39,73
Lamine Yamal,RM,89,85,81,86,90,23,53
Vitinha,CM,89,72,80,86,90,75,70
Mariona,CM,89,78,84,86,90,76,79
Patri Guijarro,CDM,89,78,82,83,87,86,83
Gianluigi Donnarumma,GK,89,90,83,70,90,52,87
Pedri,CM,89,77,73,85,91,78,77
Joshua Kimmich,CDM,89,72,74,89,84,83,79
Khadija Shaw,ST,89,71,89,71,81,32,85
Alisson,GK,89,86,85,86,89,56,90
Harry Kane,ST,89,64,92,83,82,48,82
Federico Valverde,CM,89,88,84,84,84,83,85
Mapi León,CB,89,75,68,79,76,90,82
Vini Jr.,LW,89,95,84,81,91,29,69
Florian Wirtz,CAM,89,80,82,88,90,54,67
Thibaut Courtois,GK,89,85,89,76,90,46,88
Marie Katoto,ST,88,85,87,77,84,39,74
Robert Lewandowski,ST,88,74,89,79,85,44,84
Kadidiatou Diani,RW,88,92,85,81,88,56,79
Sophia Wilson,ST,88,92,87,79,89,45,81
Guro Reiten,LM,88,88,82,85,87,60,69
Lautaro Martínez,ST,88,81,88,75,84,51,83
Alexander Isak,ST,88,83,89,73,85,39,76
Ewa Pajor,ST,88,87,88,64,88,22,71
Jamal Musiala,CAM,88,80,82,80,90,66,65
Gabriel,CB,88,64,44,64,65,88,84
Christiane Endler,GK,88,88,82,84,89,42,89
Debinha,CAM,88,85,79,86,91,46,75
Bukayo Saka,RW,88,84,82,85,88,60,73
Irene Paredes,CB,88,71,52,67,68,88,84
Jan Oblak,GK,88,85,90,78,87,46,86
Cole Palmer,CAM,87,75,83,87,87,50,65
Khvicha Kvaratskhelia,LW,87,86,80,83,88,58,78
Chloe Kelly,RM,87,88,84,85,84,43,69
Alessandro Bastoni,CB,87,74,46,75,76,88,82
Lindsey Heaps,CAM,87,76,84,87,84,64,80
Lucy Bronze,RB,87,71,68,82,80,87,87
Serhou Guirassy,ST,87,72,88,76,83,45,83
Kevin De Bruyne,CM,87,66,83,92,84,65,72
Frenkie de Jong,CM,87,82,71,85,87,78,77
Rose Lavelle,CM,87,85,81,84,87,60,64
Moisés Caicedo,CDM,87,71,64,78,81,84,82
Declan Rice,CDM,87,72,73,84,80,83,83
Sakina Karchaoui,CM,87,89,76,87,88,77,69
Marquinhos,CB,87,78,56,75,74,89,80
Yann Sommer,GK,87,83,82,85,89,50,87
Leah Williamson,CB,87,74,48,73,72,88,77
Beth Mead,RM,87,82,84,84,87,67,73
Mallory Swanson,LM,87,88,82,81,85,42,70
Jules Koundé,RB,87,84,47,74,79,86,84
Bruno Fernandes,CAM,87,67,83,89,83,65,75
William Saliba,CB,87,77,39,68,72,87,83
Ada Hegerberg,ST,87,72,86,76,85,39,79
Julián Alvarez,ST,87,85,87,81,87,57,79
Jonathan Tah,CB,87,63,38,60,63,87,86
Alexis Mac Allister,CM,87,66,82,85,85,78,76
