PlayerName,Position,OverallRating,PaceRating,ShootRating,PassRating,DribRating,DefenseRating,PhysicalRating
Kylian Mbappé,ST,91,97,90,80,92,36,78
Rodri,CDM,91,66,80,86,84,87,85
Aitana Bonmatí,CM,91,81,86,86,91,77,75
Erling Haaland,ST,91,88,92,70,81,45,88
Jude Bellingham,CAM,90,80,87,83,88,78,83
Alexia Putellas,CM,90,82,89,90,91,72,78
Vini Jr.,LW,90,95,84,81,91,29,69
Caroline Graham Hansen,RW,90,89,87,88,90,47,76
Kevin De Bruyne,CM,90,67,87,94,87,65,78
Sam Kerr,ST,90,85,88,74,90,42,83
Harry Kane,ST,90,65,93,84,83,49,82
Martin Ødegaard,CM,89,70,82,89,89,67,66
Gianluigi Donnarumma,GK,89,90,84,73,90,52,87
Sophia Smith,ST,89,93,86,79,89,45,84
Alisson,GK,89,86,85,85,89,56,90
Thibaut Courtois,GK,89,85,89,76,90,46,88
Ada Hegerberg,ST,89,74,89,77,86,39,79
Lautaro Martínez,ST,89,82,88,75,87,54,85
Mapi León,CB,89,75,73,83,76,90,82
Virgil van Dijk,CB,89,78,60,71,71,89,86
Marc-André ter Stegen,GK,89,86,85,89,91,47,86
Mohamed Salah,RW,89,89,87,82,88,45,75
Phil Foden,RW,88,86,86,85,90,57,63
Marie Katoto,ST,88,85,87,77,84,39,74
Lionel Messi,RW,88,79,85,87,92,33,64
Debinha,CAM,88,84,81,87,91,46,68
Kadidiatou Diani,RW,88,90,85,81,88,56,79
Antoine Griezmann,ST,88,80,88,87,89,59,75
Rúben Dias,CB,88,67,39,70,69,89,87
Robert Lewandowski,ST,88,75,88,79,86,44,84
Patri Guijarro,CDM,88,78,82,83,87,85,77
Federico Valverde,CM,88,88,82,84,84,80,84
Ederson,GK,88,87,82,91,87,64,86
Bernardo Silva,CM,88,75,78,86,92,71,69
Beth Mead,RW,88,82,84,84,88,67,73
Wendie Renard,CB,88,48,66,71,69,91,84
Guro Reiten,LM,88,88,80,85,86,60,66
Jan Oblak,GK,88,85,90,78,87,46,86
Irene Paredes,CB,88,71,51,67,68,89,84
Antonio Rüdiger,CB,88,82,55,73,70,86,86
Christiane Endler,GK,88,87,82,84,90,42,89
Florian Wirtz,CAM,88,81,78,87,89,50,67
Gregor Kobel,GK,88,87,86,73,89,44,87
William Saliba,CB,87,82,39,70,74,87,83
Victor Osimhen,ST,87,89,84,65,81,42,82
Jamal Musiala,CAM,87,84,81,78,90,63,64
Bukayo Saka,RW,87,85,83,81,88,60,70
Alexandra Popp,ST,87,76,87,75,80,52,90
Paulo Dybala,CAM,87,80,85,84,89,41,65
Theo Hernández,LB,87,95,76,78,84,81,89
Sakina Karchaoui,LB,87,89,66,82,87,80,65
Neymar Jr,LW,87,85,79,84,92,37,60
Declan Rice,CDM,87,73,72,82,79,84,85
Mallory Swanson,LM,87,89,81,80,85,42,71
Frenkie de Jong,CM,87,82,69,86,87,77,78
Mike Maignan,GK,87,84,83,85,88,64,84
Bruno Fernandes,CAM,87,70,85,88,83,65,75
Rose Lavelle,CAM,87,86,79,84,87,45,63
Heung Min Son,ST,87,87,89,81,85,42,73
Marquinhos,CB,87,79,56,75,74,89,81
Alessandro Bastoni,CB,87,75,43,75,76,87,83
İlkay Gündoğan,CM,87,62,83,85,87,74,73
Ewa Pajor,ST,87,88,88,63,89,21,70
Emiliano Martínez,GK,87,84,82,83,86,56,87
Nicolò Barella,CM,87,81,78,83,86,80,82
Yann Sommer,GK,87,83,84,85,89,50,86
Cristiano Ronaldo,ST,86,77,88,77,80,34,77
Gabriel,CB,86,69,41,63,61,86,82
Granit Xhaka,CDM,86,50,75,85,74,79,82
Khadija Shaw,ST,86,69,86,71,78,32,85
Rodrygo,RW,86,89,81,79,88,31,64
João Cancelo,LB,86,81,73,85,85,80,72
Rafael Leão,LW,86,94,79,80,87,28,77
Fridolina Rolfö,LB,86,82,83,82,87,83,84
Grimaldo,LM,86,74,73,88,85,76,71
Luka Modrić,CM,86,72,76,88,87,71,64
Selma Bacha,LB,86,87,73,85,82,79,79
Alexis Mac Allister,CM,86,69,82,85,84,76,76
Lauren Hemp,LW,86,90,76,84,87,63,70
Carvajal,RB,86,81,58,79,81,81,79
Mary Earps,GK,86,83,83,83,85,41,85
Ousmane Dembélé,RW,86,92,75,82,88,41,57
Lauren James,RW,86,89,81,80,87,40,82
Lena Oberdorf,CDM,86,62,62,76,75,87,89
Trent Alexander-Arnold,RB,86,75,72,90,80,80,74
